title,authors,year,venue,doi,url,peer_reviewed,tier,target_protocol_or_traffic,attacker_model,defense_mechanism,timing_policy,sw_or_hw,platform,testbed,security_metric,overhead_metric,key_result,limitations,relevance_to_us,evidence_confidence
Observations on the dynamics of a congestion control algorithm: the effects of two-way traffic,"L. Zhang, S. Shenker, D.D. Clark",1991,ACM SIGCOMM '91,10.1145/115992.116006,https://doi.org/10.1145/115992.116006,yes,3,TCP,NA,NA,NA (characterization),NA,simulation,NA,simulation,NA,NA,"Characterizes ACK compression: ACKs queued behind data bursts compress in time, causing data micro-bursts",Simulation; early-90s TCP,Explains the micro-burst-on-release risk when we hold then emit ACK-bearing frames
Carousel: Scalable Traffic Shaping at End Hosts,"Ahmed Saeed, Nandita Dukkipati, Vytautas Valancius, Vinh The Lam, Carlo Contavalli, Amin Vahdat",2017,ACM SIGCOMM,10.1145/3098822.3098852,https://dl.acm.org/doi/10.1145/3098822.3098852,yes,3,data-center end-host traffic (rate limiting/pacing),"NA (performance, not privacy)",single-queue timing-wheel shaper with deferred completions,packet pacing / timed release,sw,"Linux end host (software, HW-timestamp optional)",testbed (Google),NA,CPU/scalability to millions of flows,timing wheel enables scalable timed release at line rate with one queue and backpressure,"not a privacy defense; DC-scale, far above our rate",canonical O(1) timed-release structure; we are ~1e7x below its scale so a single timer/heap suffices (cited to reject),high
Linux kernel include/net/tcp.h (RTO/DELACK constants),Linux kernel contributors,2026,Linux kernel source (mainline),NA,https://git.kernel.org/pub/scm/linux/kernel/git/torvalds/linux.git/tree/include/net/tcp.h,no,4,TCP,NA,NA,RTO/delayed-ACK timer floors,NA,software,Linux stack,NA,NA,NA,TCP_RTO_MIN=HZ/5=200ms; TCP_RTO_MAX=120s; TCP_TIMEOUT_INIT=1s; TCP_DELACK_MAX=HZ/5=200ms; TCP_DELACK_MIN=40ms,HZ-dependent; per-route rto_min can override,The operative 200ms floor that binds our hold budget on this rig
"Linux kernel ip-sysctl documentation (tcp_retries2, thin streams)",Linux kernel contributors,2026,Linux kernel Documentation/networking/ip-sysctl,NA,https://www.kernel.org/doc/Documentation/networking/ip-sysctl.txt,no,4,TCP,NA,NA,retransmit retry limits; thin-stream timeouts,NA,software,Linux stack,NA,NA,NA,tcp_retries2 default 15 => ~924.6s to kill a live connection; tcp_thin_linear_timeouts for <4 pkts in flight,Documentation; version-dependent,Bounds the escalation horizon after RTO and notes thin-stream (DNP3-like) handling
Linux ip-route(8) manual (rto_min route option),iproute2 / man-pages contributors,2024,Linux man-pages (man7.org),NA,https://man7.org/linux/man-pages/man8/ip-route.8.html,no,4,TCP,NA,NA,per-route RTO floor tuning,NA,software,Linux stack,NA,NA,NA,rto_min sets the minimum TCP RTO per destination route (settable in ms via ip route),Man-page; behavior version-dependent,The exact knob to check on Vision to confirm the effective RTO floor is not tuned below 200ms
Adapting Bro into SCADA: Building a Specification-based Intrusion Detection System for the DNP3 Protocol,"Hui Lin, Adam Slagell, Catello Di Martino, Zbigniew Kalbarczyk, Ravishankar K. Iyer",2013,"8th Annual Cyber Security and Information Intelligence Research Workshop (CSIIRW '13), ACM",NA,https://www.semanticscholar.org/paper/03fb870d3a721719d7a8f3b664ac05ca3e9568c0,yes,2,DNP3 SCADA traffic,malformed/semantically-invalid DNP3 (correctness IDS),specification-based DNP3 parser + protocol-validation policy in Bro/Zeek,NA (detection),sw + testbed,DNP3 network traces,detection of spec violations,NA,a spec/correctness IDS validates DNP3 semantics and CRCs and sees a well-formed session,correctness-focused; not a timing-side-channel detector,evidence a Zeek dnp3 correctness IDS is blind to byte-preserving timing-only shaping but flags malformed frames / TCP anomalies,high,NA
Difficulties in Modeling SCADA Traffic: A Comparative Analysis,"Rafael Ramos Regis Barbosa, Ramin Sadre, Aiko Pras",2012,"Passive and Active Measurement (PAM 2012), Springer LNCS 7192, pp. 126-135",10.1007/978-3-642-28537-0_13,https://link.springer.com/chapter/10.1007/978-3-642-28537-0_13,yes,2,SCADA network traffic,NA (measurement study),NA,NA,measurement,real SCADA network traces,traffic-model fit,NA,"SCADA traffic is dominated by periodic polling, lacks diurnal/self-similar structure; differs from IT traffic",descriptive; specific sites,"supports that supervisory polling is periodic/predictable, so a bounded fixed pad is tolerable and timing is a stable observable",med,NA
IEEE Standard for Electric Power Systems Communications-Distributed Network Protocol (DNP3),IEEE Power and Energy Society,2012,IEEE Std 1815-2012,10.1109/IEEESTD.2012.6327578,https://ieeexplore.ieee.org/document/6327578,yes,4,DNP3,NA (standard),"NA (defines function codes, SBO, app confirm, timers)",NA,standard,NA,NA,NA,"defines SELECT/OPERATE (SBO), application CONFIRM, function codes; no minimum-latency/real-time requirement",not read in full this session (metadata + secondary sources); function-code hex values are frozen standard facts,"authoritative source for SBO semantics, app-confirm handshake, and the no-min-latency scoping",high,NA
Communication networks and systems for power utility automation - Part 5: Communication requirements for functions and device models,IEC,2013,IEC 61850-5:2013,NA,https://webstore.iec.ch/publication/6012,yes,4,IEC 61850 substation automation,NA (standard),NA (defines message performance classes),NA,standard,NA,NA,NA,"protection trip messages fall in fast performance classes (P2/P3, ~quarter-cycle / ~3 ms); protection is not DNP3-carried","not read this session; 3 ms figure is from secondary literature, not the standard text","scopes protection out of the DNP3 timing budget (sub-cycle, GOOSE/hardwired, not DNP3)",med,NA
Eiffel: Efficient and Flexible Software Packet Scheduling,"Ahmed Saeed, Yimeng Zhao, Nandita Dukkipati, Ellen W. Zegura, Mostafa H. Ammar, Khaled Harras, Amin Vahdat",2019,USENIX NSDI (pp. 17-32),NA,https://www.usenix.org/conference/nsdi19/presentation/saeed,yes,3,software packet scheduling (general),NA,programmable integer priority queue (FFS-based) + approximate timing wheels,rank-based / timed release,sw,Linux userspace and kernel,testbed,NA,"CPU per packet, ops/sec",efficient near-O(1) programmable software packet scheduler at high rates,not privacy; complexity unjustified at low rate,reference for software scheduler data structures; confirms heap/wheel scale far beyond our need,high
Hashed and Hierarchical Timing Wheels: Efficient Data Structures for Implementing a Timer Facility,"George Varghese, Anthony Lauck",1997,IEEE/ACM Transactions on Networking,10.1109/90.650142,https://doi.org/10.1109/90.650142,yes,3,OS/protocol timer management,NA,hashed/hierarchical timing-wheel timer structures,timer scheduling,sw,general,NA,NA,O(1) amortized timer start/stop vs O(log n) heap,O(1) advantage only material at large n,"grounds the ""timing wheel is O(1) but overkill at concurrency<1"" argument",high,NA
Calendar Queues: A Fast O(1) Priority Queue Implementation for the Simulation Event Set Problem,Randy Brown,1988,Communications of the ACM (31(10)),10.1145/63039.63045,https://doi.org/10.1145/63039.63045,yes,3,discrete-event simulation event set,NA,calendar-queue O(1) bucketed priority queue,event scheduling,sw,general,NA,NA,O(1) enqueue/dequeue for large future-event sets,performance sensitive to bucket sizing / skew,"alternative to timing wheel for timed release; same ""unneeded at our scale"" verdict",high,NA
tc-netem(8) Linux manual page (Network Emulator qdisc),Linux man-pages project,2024,Linux manual (man7.org),NA,https://man7.org/linux/man-pages/man8/tc-netem.8.html,no,3,any egress IP traffic,NA,netem qdisc: fixed delay + jitter + correlation + distribution (uniform/normal/pareto/paretonormal),"fixed/jitter delay, distribution",sw,Linux tc/qdisc (egress),NA,NA,per-packet kernel overhead,kernel can add distributional delay per packet on egress,blind per-interface/class delay; no per-transaction policy; can reorder with rate,"candidate for RTO/latency EMULATION and a future in-path middlebox, not the policy engine",high
tc-etf(8) Linux manual page (Earliest TxTime First qdisc; SO_TXTIME/EDT),Linux man-pages project,2024,Linux manual (man7.org),NA,https://man7.org/linux/man-pages/man8/tc-etf.8.html,no,3,any egress IP traffic,NA,"ETF qdisc: per-packet earliest-txtime release via SO_TXTIME/SCM_TXTIME, rb-tree ordered, delta wake-up, optional NIC launch-time offload",per-packet absolute-deadline release,sw+hw,Linux qdisc + optional NIC launch-time offload,NA,NA,rb-tree O(log n); configurable wake-up delta,kernel/NIC can release each packet at a programmed absolute time,requires being the skb sender (forwarder/proxy); no DNP3 policy layer,the right kernel primitive for per-packet timed release IF an in-path forwarder is built,high
clock_nanosleep(2) Linux manual page,Linux man-pages project,2024,Linux manual (man7.org),NA,https://man7.org/linux/man-pages/man2/clock_nanosleep.2.html,no,3,OS timing,NA,"absolute-deadline sleep (TIMER_ABSTIME, CLOCK_MONOTONIC)",absolute-deadline hold,sw,Linux / CPython,NA,NA,one syscall per hold,TIMER_ABSTIME avoids re-arm/drift; wakeup may be late due to scheduling/rounding,our per-response hold uses exactly this; grounds the drift-free precision claim,high,NA
Python Standard Library: time module,Python Software Foundation,2024,Python documentation,NA,https://docs.python.org/3/library/time.html,no,3,userspace scheduling,NA,time.sleep via clock_nanosleep/nanosleep since 3.11; CLOCK_MONOTONIC,sleep-based hold,sw,CPython 3.11+,NA,NA,1 ns nominal resolution (not achievable jitter),time.sleep uses clock_nanosleep on Unix since 3.11,actual jitter bounded by scheduler not the 1 ns nominal; justifies CPython adequacy for ms holds,high,NA
Python Standard Library: asyncio Event Loop,Python Software Foundation,2024,Python documentation,NA,https://docs.python.org/3/library/asyncio-eventloop.html,no,3,userspace event scheduling,NA,loop.call_at absolute-deadline scheduling on monotonic loop.time(); single-thread callbacks,event-driven absolute-deadline release,sw,CPython asyncio,NA,NA,single-thread; may fire up to one clock-resolution early,call_at schedules at absolute monotonic timestamp; no thread-per-packet,the recommended async scaling path for the scheduler,high,NA
AF_XDP - The Linux Kernel Documentation,Linux Kernel Documentation,2024,kernel.org documentation,NA,https://www.kernel.org/doc/html/latest/networking/af_xdp.html,no,3,high-rate packet I/O,NA,XDP redirects INGRESS frames; AF_XDP zero-copy RX/TX rings,NA (no timer primitive),sw+hw,Linux XDP / AF_XDP,NA,NA,"zero-copy, per-pps",XDP is an RX/ingress hook with no native timed-egress/sleep primitive,cannot delay packets in XDP; timed release would need userspace timing on an AF_XDP queue,"grounds the ""XDP unsuitable for timed release"" negative result",high
NetWarden: Mitigating Network Covert Channels while Preserving Performance,"Jiarong Xing, Qiao Kang, Ang Chen",2020,USENIX Security Symposium,NA,https://www.usenix.org/conference/usenixsecurity20/presentation/xing,yes,2,general TCP/covert channels,active/passive covert-channel sender-receiver,in-network detect+normalize inter-packet-delay & storage channels,"IPD normalization (shape distribution) at line rate, switch fastpath + SW slowpath",hw+sw,Barefoot Tofino + host software,switch ASIC,covert-channel bit-rate / detection,TCP throughput preserved,line-rate covert-timing-channel mitigation on a programmable switch without perf loss,"shapes ongoing IPD, not a single absolute first-packet deadline; not DNP3",closest published precedent for in-network packet-timing normalization on our target class,high
NetWarden: Mitigating Network Covert Channels without Performance Loss,"Jiarong Xing, Adam Morrison, Ang Chen",2019,USENIX HotCloud Workshop,NA,https://www.usenix.org/conference/hotcloud19/presentation/xing,yes,2,general TCP/covert channels,covert-channel sender-receiver,programmable-data-plane covert-channel mitigation,timing+storage channel mitigation,hw+sw,programmable switch,switch ASIC,covert-channel mitigation,perf preserved,early/position version of NetWarden,workshop scope,shows the in-network timing-manipulation line of work,high
Nimble: Scalable TCP-Friendly Programmable In-Network Rate-Limiting,"Vineeth Sagar Thapeta, Komal Shinde, Mojtaba Malekpourshahraki, Darius Grassi, Balajee Vamanan, Brent E. Stephens",2021,ACM SOSR,10.1145/3482898.3483361,https://conferences.sigcomm.org/sosr/2021/papers/s13.pdf,yes,3,TCP / datacenter,"NA (rate-limiting, not adversarial)",in-network rate-limiting via meters,"rate/pacing via meters + ECN-shaping, no queuing/recirc",hw,Barefoot Tofino 100G,switch ASIC,TCP-friendliness / utilization,"100k rate-limiters, no recirc",line-rate pacing on Tofino without dedicated queuing or recirculation,"rate control only, not absolute per-packet delay",grounds mechanism-1 (pacing native/cheap on Tofino via meters),high
SP-PIFO: Approximating Push-In First-Out Behaviors using Strict-Priority Queues,"Albert Gran Alcoz, Alexander Dietmüller, Laurent Vanbever",2020,USENIX NSDI,NA,https://www.usenix.org/conference/nsdi20/presentation/alcoz,yes,3,general,NA,programmable scheduling on commodity queues,rank/deadline-ordered release approximated on strict-priority queues,hw,Barefoot Tofino,switch ASIC,scheduling fidelity,runs on real HW,PIFO-like programmable scheduling on existing Tofino strict-priority queues,approximation; scheduling order not absolute delay,shows deadline-ordered scheduling is feasible on Tofino queues,high
Programmable Packet Scheduling at Line Rate,"Anirudh Sivaraman, Suvinay Subramanian, Mohammad Alizadeh, Sharad Chole, Shang-Tse Chuang, Anurag Agrawal, Hari Balakrishnan, Tom Edsall, Sachin Katti, Nick McKeown",2016,ACM SIGCOMM,10.1145/2934872.2934899,https://doi.org/10.1145/2934872.2934899,yes,3,general,NA,PIFO programmable scheduler primitive,priority/deadline-ordered enqueue at line rate,hw,switch ASIC (design),ASIC design/eval,scheduling expressiveness,~4% area,single hardware primitive for programmable line-rate scheduling,"scheduling order, not wall-clock hold",foundational for deadline-ordered release feasibility,high
"Fast, Scalable, and Programmable Packet Scheduler in Hardware",Vishal Shrivastav,2019,ACM SIGCOMM,10.1145/3341302.3342090,https://doi.org/10.1145/3341302.3342090,yes,3,general,NA,PIEO predicate-based scheduler,dequeue by predicate from arbitrary list position,hw,FPGA prototype,FPGA,scalability/expressiveness,>30x vs PIFO,"generalizes PIFO to predicate-based dequeue, more scalable","scheduling, not absolute delay",supports deadline-indexed release primitives,high
Approximating Fair Queueing on Reconfigurable Switches,"Naveen Kr. Sharma, Ming Liu, Kishore Atreya, Arvind Krishnamurthy",2018,USENIX NSDI,NA,https://www.usenix.org/conference/nsdi18/presentation/sharma,yes,3,datacenter,NA,approximate fair queueing in-switch,per-packet rank + rotating strict-priority queues,hw,reconfigurable/PISA switch,switch ASIC,fairness,line rate,fair-queueing approximated at line rate on programmable switches,"scheduling discipline, not per-flow absolute delay",grounds per-flow scheduling feasibility (mechanism 4),high
Forwarding Metamorphosis: Fast Programmable Match-Action Processing in Hardware for SDN,"Pat Bosshart, Glen Gibb, Hun-Seok Kim, George Varghese, Nick McKeown, Martin Izzard, Fernando Mujica, Mark Horowitz",2013,ACM SIGCOMM,10.1145/2486001.2486011,https://doi.org/10.1145/2486001.2486011,yes,4,general,NA,RMT programmable match-action architecture,NA (architecture),hw,RMT ASIC (design),ASIC design,feasibility/cost,terabit line rate,protocol-independent programmable switch ASIC is feasible at terabit rates,"foundation, not a timing mechanism",the PISA/Tofino architecture our analysis assumes,high
Accelerated Service Chaining on a Single Switch ASIC,Dingming Wu et al. (full author list not verified this session),2019,ACM HotNets,10.1145/3365609.3365849,https://doi.org/10.1145/3365609.3365849,yes,3,general,NA,on-chip recirculation for multi-pass processing,NA,hw,Barefoot Tofino,switch ASIC,throughput,"on-chip recirc ~1.6 Tbps, 2x vs off-chip",quantifies on-chip recirculation capacity/cost on Tofino,not a timing/delay system,grounds the recirc-bandwidth budget for the recirc-hold (mechanism 3),high
Precise Time-synchronization in the Data-Plane using Programmable Switching ASICs (DPTP),"Pravein Govindan Kannan, Raj Joshi, Mun Choon Chan",2019,ACM SOSR,NA,https://praveingk.github.io/papers/DPTP_SOSR19.pdf,yes,3,general,NA,in-dataplane time synchronization,NA,hw,Barefoot Tofino,switch ASIC,sync error,19 ns median / 47 ns p99,ns-precision timekeeping fully in the Tofino data plane,"provides time, not delay",grounds that Tofino can OBSERVE time at ns precision (timestamps),high
NetVRM: Virtual Register Memory for Programmable Networks,"Hang Zhu, Tao Wang, Yi Hong, Dan R. K. Ports, Anirudh Sivaraman, Xin Jin",2022,USENIX NSDI,NA,https://www.usenix.org/conference/nsdi22/presentation/zhu,yes,3,general,NA,dynamic register-memory sharing,NA,hw,commodity programmable switch,switch ASIC,memory satisfaction ratio,1.6-2.2x,register memory is scarce and statically partitioned across stages,not a timing mechanism,grounds the per-flow-state ceiling for mechanism 4,high
TEA: Enabling State-Intensive Network Functions on Programmable Switches,"Daehyeok Kim, Zaoxing Liu, Yibo Zhu, Changhoon Kim, Jeongkeun Lee, Vyas Sekar, Srinivasan Seshan",2020,ACM SIGCOMM,10.1145/3387514.3405855,https://doi.org/10.1145/3387514.3405855,yes,3,general,NA,external DRAM for switch state via RDMA,NA,hw,Barefoot Tofino + server DRAM,switch ASIC + RDMA,throughput/state size,line rate,switches reach large state only via external DRAM over RDMA,heavyweight; not timing,grounds mechanism-5 (no on-chip payload store on Tofino),high
Loom: Flexible and Efficient NIC Packet Scheduling,"Brent Stephens, Aditya Akella, Michael M. Swift",2019,USENIX NSDI,NA,https://www.usenix.org/conference/nsdi19/presentation/stephens,yes,4,datacenter,NA,NIC hierarchical packet scheduler,per-flow hierarchical scheduling in NIC,hw,SmartNIC,NIC,policy enforcement,"100 Gbps, no CPU",offload per-flow scheduling into the NIC,"scheduling, not absolute delay; NIC",supports SmartNIC-side scheduling feasibility,high
P4-TAS: P4-Based Time-Aware Shaper for Time-Sensitive Networking,"Chair of Communication Networks, University of Tübingen (Steffen Lindner et al.)",2025,arXiv (preprint),10.48550/arXiv.2511.10249,https://arxiv.org/abs/2511.10249,preprint,3,TSN/Ethernet,NA,802.1Qbv Time-Aware Shaper on P4,time-gated cyclic egress-queue open/close via generated control frames,hw,Intel Tofino 2,switch ASIC,schedule precision,ns-scale internal delay quantified,first TAS on a P4 ASIC; time-gated queue release feasible on Tofino-class HW,"Tofino 2, preprint",grounds mechanism-2 (time-gated IPG normalization) on Tofino-class HW,med
Corundum: An Open-Source 100-Gbps NIC,"Alex Forencich, Alex C. Snoeren, George Porter, George Papen",2020,IEEE FCCM,10.1109/FCCM48280.2020.00015,https://doi.org/10.1109/FCCM48280.2020.00015,yes,3,general,NA,FPGA NIC with HW TX scheduler + PTP,per-queue timestamped/TDMA time-based release,hw,FPGA (Xilinx),FPGA NIC,scheduling precision,"µs-precision TDMA at 100G, no CPU",">10k HW queues, PTP timestamping, µs-precision TDMA time-based TX scheduler",high dev cost,grounds FPGA mechanisms 1-4 (deterministic timed release),high
IEEE 802.1Qbv-2015: Enhancements for Scheduled Traffic (Time-Aware Shaper),IEEE 802.1 Working Group,2015,IEEE Standard (802.1Q amendment),NA,https://standards.ieee.org/ieee/802.1Qbv/6068/,standards-doc,4,TSN/Ethernet,NA,time-aware shaper (gate control list),cyclic time-gated egress-queue release,hw,bridges/switches,standard,determinism/bounded delay,NA,standardized time-gated frame release,"standard, not an implementation",the standards analogue of hardware timed release (mechanism 2/3),high
IEEE 1588-2019: Precision Clock Synchronization Protocol (PTP),IEEE,2019,IEEE Standard,NA,https://standards.ieee.org/ieee/1588/6825/,standards-doc,4,networked measurement/control,NA,precision time synchronization,NA (timebase),hw,networked devices,standard,sync accuracy,sub-µs to sub-ns,the precise timebase that time-based schedulers reference,standard,the timebase for accurate send scheduling / TAS / TDMA,high
NetFPGA SUME: Toward 100 Gbps as Research Commodity,"Noa Zilberman, Yury Audzevich, G. Adam Covington, Andrew W. Moore",2014,IEEE Micro,10.1109/MM.2014.61,https://doi.org/10.1109/MM.2014.61,yes,4,general,NA,FPGA platform for line-rate packet processing,NA,hw,Xilinx Virtex-7 FPGA,FPGA board,platform capability,100 Gbps-class,standard FPGA research board for programmable packet processing + HW timestamping,"platform, not a mechanism",grounds the FPGA platform option,high
P4CEP: Towards In-Network Complex Event Processing,"Thomas Kohler, Ruben Mayer, Frank Dürr, Marius Maaß, Sukanya Bhowmik, Kurt Rothermel",2018,ACM SIGCOMM NetCompute Workshop,10.1145/3229591.3229593,https://doi.org/10.1145/3229591.3229593,yes,3,general,NA,stateful CEP operators as a P4 dataplane,NA,hw,Netronome Agilio SmartNIC,SmartNIC,latency,~6.8 µs at 10 GbE,"stateful P4-on-Agilio dataplane, latency-measured",not a timing-delay system,grounds Netronome (NFP) P4 dataplane capability,high
NVIDIA BlueField-3 DPU Datasheet,NVIDIA,2023,NVIDIA vendor datasheet,NA,https://docs.nvidia.com/networking/display/bf3dpu,vendor-doc,3,NA,NA,DPU: Arm cores + DRAM + ConnectX-7,NA,hw,BlueField-3,DPU,NA,"16x A78, 32GB DDR5, 400G",on-chip cores + up to 32GB DRAM + line-rate engine to host delay/buffer logic,vendor doc,grounds DPU buffering (mechanism 5) and compute for delay,high
NVIDIA BlueField-2 DPU Datasheet,NVIDIA,2020,NVIDIA vendor datasheet,NA,https://docs.nvidia.com/networking/display/BlueField2DPUENUG/Specifications,vendor-doc,3,NA,NA,DPU: Arm A72 + DDR4 + ConnectX-6 Dx,NA,hw,BlueField-2,DPU,NA,"8x A72, 8/16GB DDR4, 200G",DPU hardware baseline for the bump-in-the-wire deployment,vendor doc,grounds the DPU platform option,high
NVIDIA Accurate Send Scheduling & Packet Pacing (5T for 5G),NVIDIA,2024,NVIDIA vendor doc,NA,https://docs.nvidia.com/networking/display/NVIDIA5TTechnologyUserManualv10/Accurate+Scheduling,vendor-doc,3,NA,NA,HW timed transmit + per-SQ pacing,transmit at app-supplied PTP time via per-SQ fence; ns-granular pacing,hw,ConnectX-6 Dx+/BlueField,NIC/DPU,send-time accuracy,ns-scale,HARDWARE first-packet absolute delay + rate pacing primitive,vendor doc,grounds DPU mechanisms 1-3 as native hardware primitives,high
NVIDIA DOCA Flow Programming Guide,NVIDIA,2024,NVIDIA vendor doc,NA,https://docs.nvidia.com/doca/sdk/doca-flow/index.html,vendor-doc,3,NA,NA,HW flow steering/metering pipes,NA,hw,BlueField/ConnectX,DPU,NA,line rate,offload match/meter/steer pipes to the eSwitch,vendor doc,grounds DPU dataplane offload for pacing/steering,high
Open-Tofino: P4-16 Tofino Native Architecture (public),Barefoot Networks / Intel,2021,vendor repo/spec,NA,https://github.com/barefootnetworks/Open-Tofino,vendor-doc,3,NA,NA,"TNA arch: TM, timestamps, recirc/resubmit, pktgen",NA,hw,Tofino 1,switch ASIC,NA,NA,"authoritative TNA definitions (intrinsic metadata, TM configurable-not-programmable, recirc vs resubmit, pktgen triggers)",detailed TM model withheld,primary source for all Tofino-1 capability claims,high
Estimating mutual information,Alexander Kraskov; Harald Stögbauer; Peter Grassberger,2004,Physical Review E 69(6),10.1103/PhysRevE.69.066138,https://link.aps.org/doi/10.1103/PhysRevE.69.066138,yes,2,NA,NA,NA,NA,NA,NA,NA,MI estimation quality,NA,"kNN (KSG) MI estimator: data-efficient, adaptive, low bias",our primary MI estimator for I(timing; N/size/identity),high,NA
Comparing the areas under two or more correlated receiver operating characteristic curves: a nonparametric approach,Elizabeth R. DeLong; David M. DeLong; Daniel L. Clarke-Pearson,1988,Biometrics 44(3),10.2307/2531595,https://www.jstor.org/stable/2531595,yes,2,NA,NA,NA,NA,NA,NA,NA,paired AUC comparison test,NA,nonparametric test + covariance for correlated AUCs,significance test for paired AUC (native vs obf attacker) in T1,high,NA
Note on the sampling error of the difference between correlated proportions or percentages,Quinn McNemar,1947,Psychometrika 12(2),10.1007/BF02295996,https://link.springer.com/article/10.1007/BF02295996,yes,2,NA,NA,NA,NA,NA,NA,NA,paired-proportion test,NA,McNemar's test for correlated proportions,significance test for paired classifier accuracy (native vs obf),high,NA
Controlling the false discovery rate: a practical and powerful approach to multiple testing,Yoav Benjamini; Yosef Hochberg,1995,Journal of the Royal Statistical Society Series B 57(1),10.1111/j.2517-6161.1995.tb02031.x,https://rss.onlinelibrary.wiley.com/doi/10.1111/j.2517-6161.1995.tb02031.x,yes,3,NA,NA,NA,NA,NA,NA,NA,FDR control,NA,Benjamini-Hochberg FDR procedure,multiple-comparison correction across the policy×attacker×task grid,high,NA
Computational Optimal Transport: With Applications to Data Science,Gabriel Peyré; Marco Cuturi,2019,Foundations and Trends in Machine Learning 11(5-6),10.1561/2200000073,https://www.nowpublishers.com/article/Details/MAL-073,yes,2,NA,NA,NA,NA,NA,NA,NA,Wasserstein/OT distances,NA,computation + theory of W1 and optimal transport,W1 distance-to-target metric for distribution-shaping policies (P3/P4/P7),high,NA
Divergence measures based on the Shannon entropy,Jianhua Lin,1991,IEEE Transactions on Information Theory 37(1),10.1109/18.61115,https://ieeexplore.ieee.org/document/61115,yes,3,NA,NA,NA,NA,NA,NA,NA,JS divergence,NA,defines Jensen-Shannon divergence,per-class distributional-similarity metric (want JS→0),high,NA
An Introduction to the Bootstrap,Bradley Efron; Robert J. Tibshirani,1993,"Chapman & Hall (book, ISBN 0-412-04231-2)",NA,https://www.routledge.com/9780412042317,yes,3,NA,NA,NA,NA,NA,NA,NA,bootstrap CI,NA,bootstrap resampling for CIs,"bootstrap CIs for MI, R², β, PG, W1",high,NA
Statistical Power Analysis for the Behavioral Sciences (2nd ed.),Jacob Cohen,1988,"Lawrence Erlbaum Associates (book, ISBN 0-8058-0283-5)",NA,https://www.routledge.com/p/book/9780805802832,yes,3,NA,NA,NA,NA,NA,NA,NA,power/effect size,NA,"power analysis and effect-size conventions (d, h)",power-analysis sketch and effect-size reporting,high,NA
On Evaluating Adversarial Robustness,Nicholas Carlini; Anish Athalye; Nicolas Papernot; Wieland Brendel; Jonas Rauber; Dimitris Tsipras; Ian Goodfellow; Aleksander Madry; Alexey Kurakin,2019,arXiv:1902.06705,NA,https://arxiv.org/abs/1902.06705,preprint,2,NA,adaptive/defense-aware attacker,NA,NA,NA,NA,NA,robustness eval methodology,NA,best practices: evaluate defenses against maximally-knowledgeable adaptive attackers,methodological basis for A7 defense-aware attacker and honest privacy claims,high,NA
Automatic Construction of Statechart-Based Anomaly Detection Models for Multi-Threaded Industrial Control Systems,Amit Kleinmann; Avishai Wool,2016,ACM Workshop on Cyber-Physical Systems Security and PrivaCy (CPS-SPC),NA,https://arxiv.org/abs/1607.07489,yes,3,SCADA (Modbus) HMI-PLC traffic,(anomaly detector; models traffic),NA,NA,sw,SCADA network traces,testbed,statechart DFA models periodic SCADA traffic accurately,NA,SCADA traffic is highly regular/modelable,context that ICS traffic patterns are learnable ⇒ fingerprinting feasibility,med,NA
Traffic Morphing: An Efficient Defense Against Statistical Traffic Analysis,"Charles V. Wright, Scott E. Coull, Fabian Monrose",2009,NDSS,NA,https://www.ndss-symposium.org/ndss2009/,yes,2,Encrypted traffic (packet-size distributions),Passive statistical traffic analyst,Convex-optimization morphing of one class's packet-size distribution to match a target class's,Distribution-matching (size axis),sw,Software,Simulation over traffic datasets,classifier accuracy reduction,bandwidth overhead (minimized),Matches a target distribution at minimal overhead via convex optimization,Operates on sizes via padding; not byte-preserving; not timing,"Closest conceptual ancestor of distribution-matching normalization (our decoy-match/size-decorrelation), transplanted to the timing axis",high
