path,classification,reason,canonical_replacement,recovery_branch,recovery_tag,recovery_commit,kind
Traffic Trace/zeek_run/latency.log,EARLIER_RESEARCH,Pre-silicon capture corpus; the paper's evidence is the six hardware PCAPs,defense4/timing/evidence/final_read_sbo/raw_pcaps/,cleanup/timing-read-sbo-20260824,archive/pre-final-timing-prune-20260824,2ea2dafe4517b5893fac5e06fc5db2ae63ba13b8,historical
Traffic Trace/zeek_run/packet_filter.log,EARLIER_RESEARCH,Pre-silicon capture corpus; the paper's evidence is the six hardware PCAPs,defense4/timing/evidence/final_read_sbo/raw_pcaps/,cleanup/timing-read-sbo-20260824,archive/pre-final-timing-prune-20260824,2ea2dafe4517b5893fac5e06fc5db2ae63ba13b8,historical
Traffic Trace/zeek_run/run_stdout.txt,EARLIER_RESEARCH,Pre-silicon capture corpus; the paper's evidence is the six hardware PCAPs,defense4/timing/evidence/final_read_sbo/raw_pcaps/,cleanup/timing-read-sbo-20260824,archive/pre-final-timing-prune-20260824,2ea2dafe4517b5893fac5e06fc5db2ae63ba13b8,historical
WORKING_NOTES.md,OTHER_RESEARCH_NOTE,"Root-level planning, audit or direction note from an earlier phase; not an input to any published timing result",none,cleanup/timing-read-sbo-20260824,archive/pre-final-timing-prune-20260824,2ea2dafe4517b5893fac5e06fc5db2ae63ba13b8,tracked
archive/superseded_decisions/PIVOT_TO_ENDPOINT_TIMING_2026-07-24.md,HISTORICAL_ARCHIVE,"In-checkout archive; git history, the archival tag and the bundle are the archive",none,cleanup/timing-read-sbo-20260824,archive/pre-final-timing-prune-20260824,2ea2dafe4517b5893fac5e06fc5db2ae63ba13b8,historical
archive/timing-inline-v1-20260725/.gitignore,HISTORICAL_ARCHIVE,"In-checkout archive; git history, the archival tag and the bundle are the archive",none,cleanup/timing-read-sbo-20260824,archive/pre-final-timing-prune-20260824,2ea2dafe4517b5893fac5e06fc5db2ae63ba13b8,historical
archive/timing-inline-v1-20260725/DNP3_INLINE_LIVE_REPORT.pdf,HISTORICAL_ARCHIVE,"In-checkout archive; git history, the archival tag and the bundle are the archive",none,cleanup/timing-read-sbo-20260824,archive/pre-final-timing-prune-20260824,2ea2dafe4517b5893fac5e06fc5db2ae63ba13b8,historical
archive/timing-inline-v1-20260725/README.md,HISTORICAL_ARCHIVE,"In-checkout archive; git history, the archival tag and the bundle are the archive",none,cleanup/timing-read-sbo-20260824,archive/pre-final-timing-prune-20260824,2ea2dafe4517b5893fac5e06fc5db2ae63ba13b8,historical
archive/timing-inline-v1-20260725/SUPERSEDED.md,HISTORICAL_ARCHIVE,"In-checkout archive; git history, the archival tag and the bundle are the archive",none,cleanup/timing-read-sbo-20260824,archive/pre-final-timing-prune-20260824,2ea2dafe4517b5893fac5e06fc5db2ae63ba13b8,historical
archive/timing-inline-v1-20260725/assets/clustering.png,HISTORICAL_ARCHIVE,"In-checkout archive; git history, the archival tag and the bundle are the archive",none,cleanup/timing-read-sbo-20260824,archive/pre-final-timing-prune-20260824,2ea2dafe4517b5893fac5e06fc5db2ae63ba13b8,historical
archive/timing-inline-v1-20260725/assets/entropy_vs_g.png,HISTORICAL_ARCHIVE,"In-checkout archive; git history, the archival tag and the bundle are the archive",none,cleanup/timing-read-sbo-20260824,archive/pre-final-timing-prune-20260824,2ea2dafe4517b5893fac5e06fc5db2ae63ba13b8,historical
archive/timing-inline-v1-20260725/assets/queues.svg,HISTORICAL_ARCHIVE,"In-checkout archive; git history, the archival tag and the bundle are the archive",none,cleanup/timing-read-sbo-20260824,archive/pre-final-timing-prune-20260824,2ea2dafe4517b5893fac5e06fc5db2ae63ba13b8,historical
archive/timing-inline-v1-20260725/assets/sequence.svg,HISTORICAL_ARCHIVE,"In-checkout archive; git history, the archival tag and the bundle are the archive",none,cleanup/timing-read-sbo-20260824,archive/pre-final-timing-prune-20260824,2ea2dafe4517b5893fac5e06fc5db2ae63ba13b8,historical
archive/timing-inline-v1-20260725/assets/stages.svg,HISTORICAL_ARCHIVE,"In-checkout archive; git history, the archival tag and the bundle are the archive",none,cleanup/timing-read-sbo-20260824,archive/pre-final-timing-prune-20260824,2ea2dafe4517b5893fac5e06fc5db2ae63ba13b8,historical
archive/timing-inline-v1-20260725/assets/topology.svg,HISTORICAL_ARCHIVE,"In-checkout archive; git history, the archival tag and the bundle are the archive",none,cleanup/timing-read-sbo-20260824,archive/pre-final-timing-prune-20260824,2ea2dafe4517b5893fac5e06fc5db2ae63ba13b8,historical
archive/timing-inline-v1-20260725/design/INLINE_RELAY_SAFETY_AND_CONFIG.md,HISTORICAL_ARCHIVE,"In-checkout archive; git history, the archival tag and the bundle are the archive",none,cleanup/timing-read-sbo-20260824,archive/pre-final-timing-prune-20260824,2ea2dafe4517b5893fac5e06fc5db2ae63ba13b8,historical
archive/timing-inline-v1-20260725/design/INLINE_TOPOLOGY_DESIGN.md,HISTORICAL_ARCHIVE,"In-checkout archive; git history, the archival tag and the bundle are the archive",none,cleanup/timing-read-sbo-20260824,archive/pre-final-timing-prune-20260824,2ea2dafe4517b5893fac5e06fc5db2ae63ba13b8,historical
archive/timing-inline-v1-20260725/evidence/RESULT.md,HISTORICAL_ARCHIVE,"In-checkout archive; git history, the archival tag and the bundle are the archive",none,cleanup/timing-read-sbo-20260824,archive/pre-final-timing-prune-20260824,2ea2dafe4517b5893fac5e06fc5db2ae63ba13b8,historical
archive/timing-inline-v1-20260725/evidence/native_inline2.pcap,HISTORICAL_ARCHIVE,"In-checkout archive; git history, the archival tag and the bundle are the archive",none,cleanup/timing-read-sbo-20260824,archive/pre-final-timing-prune-20260824,2ea2dafe4517b5893fac5e06fc5db2ae63ba13b8,historical
archive/timing-inline-v1-20260725/evidence/prot_inline.pcap,HISTORICAL_ARCHIVE,"In-checkout archive; git history, the archival tag and the bundle are the archive",none,cleanup/timing-read-sbo-20260824,archive/pre-final-timing-prune-20260824,2ea2dafe4517b5893fac5e06fc5db2ae63ba13b8,historical
archive/timing-inline-v1-20260725/index.html,HISTORICAL_ARCHIVE,"In-checkout archive; git history, the archival tag and the bundle are the archive",none,cleanup/timing-read-sbo-20260824,archive/pre-final-timing-prune-20260824,2ea2dafe4517b5893fac5e06fc5db2ae63ba13b8,historical
archive/timing-inline-v1-20260725/interactive.html,HISTORICAL_ARCHIVE,"In-checkout archive; git history, the archival tag and the bundle are the archive",none,cleanup/timing-read-sbo-20260824,archive/pre-final-timing-prune-20260824,2ea2dafe4517b5893fac5e06fc5db2ae63ba13b8,historical
archive/timing-inline-v1-20260725/p4/dnp3_timing_normalizer_inline.p4,HISTORICAL_ARCHIVE,"In-checkout archive; git history, the archival tag and the bundle are the archive",none,cleanup/timing-read-sbo-20260824,archive/pre-final-timing-prune-20260824,2ea2dafe4517b5893fac5e06fc5db2ae63ba13b8,historical
archive/timing-inline-v1-20260725/p4/lab.env.inline,HISTORICAL_ARCHIVE,"In-checkout archive; git history, the archival tag and the bundle are the archive",none,cleanup/timing-read-sbo-20260824,archive/pre-final-timing-prune-20260824,2ea2dafe4517b5893fac5e06fc5db2ae63ba13b8,historical
archive/timing-inline-v1-20260725/run/README.md,HISTORICAL_ARCHIVE,"In-checkout archive; git history, the archival tag and the bundle are the archive",none,cleanup/timing-read-sbo-20260824,archive/pre-final-timing-prune-20260824,2ea2dafe4517b5893fac5e06fc5db2ae63ba13b8,historical
archive/timing-inline-v1-20260725/run/clrt.py,HISTORICAL_ARCHIVE,"In-checkout archive; git history, the archival tag and the bundle are the archive",none,cleanup/timing-read-sbo-20260824,archive/pre-final-timing-prune-20260824,2ea2dafe4517b5893fac5e06fc5db2ae63ba13b8,historical
archive/timing-inline-v1-20260725/run/dnp3_crc.py,HISTORICAL_ARCHIVE,"In-checkout archive; git history, the archival tag and the bundle are the archive",none,cleanup/timing-read-sbo-20260824,archive/pre-final-timing-prune-20260824,2ea2dafe4517b5893fac5e06fc5db2ae63ba13b8,historical
archive/timing-inline-v1-20260725/run/poll.py,HISTORICAL_ARCHIVE,"In-checkout archive; git history, the archival tag and the bundle are the archive",none,cleanup/timing-read-sbo-20260824,archive/pre-final-timing-prune-20260824,2ea2dafe4517b5893fac5e06fc5db2ae63ba13b8,historical
archive/timing-inline-v1-20260725/run/run.sh,HISTORICAL_ARCHIVE,"In-checkout archive; git history, the archival tag and the bundle are the archive",none,cleanup/timing-read-sbo-20260824,archive/pre-final-timing-prune-20260824,2ea2dafe4517b5893fac5e06fc5db2ae63ba13b8,historical
archive/timing-inline-v1-20260725/run/status.sh,HISTORICAL_ARCHIVE,"In-checkout archive; git history, the archival tag and the bundle are the archive",none,cleanup/timing-read-sbo-20260824,archive/pre-final-timing-prune-20260824,2ea2dafe4517b5893fac5e06fc5db2ae63ba13b8,historical
archive/timing-inline-v1-20260725/source/build.sh,HISTORICAL_ARCHIVE,"In-checkout archive; git history, the archival tag and the bundle are the archive",none,cleanup/timing-read-sbo-20260824,archive/pre-final-timing-prune-20260824,2ea2dafe4517b5893fac5e06fc5db2ae63ba13b8,historical
archive/timing-inline-v1-20260725/source/make_diagrams.py,HISTORICAL_ARCHIVE,"In-checkout archive; git history, the archival tag and the bundle are the archive",none,cleanup/timing-read-sbo-20260824,archive/pre-final-timing-prune-20260824,2ea2dafe4517b5893fac5e06fc5db2ae63ba13b8,historical
archive/timing-inline-v1-20260725/source/make_figures.py,HISTORICAL_ARCHIVE,"In-checkout archive; git history, the archival tag and the bundle are the archive",none,cleanup/timing-read-sbo-20260824,archive/pre-final-timing-prune-20260824,2ea2dafe4517b5893fac5e06fc5db2ae63ba13b8,historical
archive/timing-inline-v1-20260725/source/report_source.md,HISTORICAL_ARCHIVE,"In-checkout archive; git history, the archival tag and the bundle are the archive",none,cleanup/timing-read-sbo-20260824,archive/pre-final-timing-prune-20260824,2ea2dafe4517b5893fac5e06fc5db2ae63ba13b8,historical
archive/timing-inline-v1-20260725/source/template.html,HISTORICAL_ARCHIVE,"In-checkout archive; git history, the archival tag and the bundle are the archive",none,cleanup/timing-read-sbo-20260824,archive/pre-final-timing-prune-20260824,2ea2dafe4517b5893fac5e06fc5db2ae63ba13b8,historical
archive/worklogs/WORKING_NOTES_2026-07.md,HISTORICAL_ARCHIVE,"In-checkout archive; git history, the archival tag and the bundle are the archive",none,cleanup/timing-read-sbo-20260824,archive/pre-final-timing-prune-20260824,2ea2dafe4517b5893fac5e06fc5db2ae63ba13b8,historical
archive/worklogs/WORKING_NOTES_release_hardening_20260731.md,HISTORICAL_ARCHIVE,"In-checkout archive; git history, the archival tag and the bundle are the archive",none,cleanup/timing-read-sbo-20260824,archive/pre-final-timing-prune-20260824,2ea2dafe4517b5893fac5e06fc5db2ae63ba13b8,historical
defense3/.gitignore,DEFENSE_1_3_DEV,Defense-3 development tree. Only the three modules the retained control chain actually loads are kept; no other file is an exact dependency,defense4/timing/implementation/control/ (3 proved dependencies),cleanup/timing-read-sbo-20260824,archive/pre-final-timing-prune-20260824,2ea2dafe4517b5893fac5e06fc5db2ae63ba13b8,historical
defense3/AUDIT_RESPONSE.md,DEFENSE_1_3_DEV,Defense-3 development tree. Only the three modules the retained control chain actually loads are kept; no other file is an exact dependency,defense4/timing/implementation/control/ (3 proved dependencies),cleanup/timing-read-sbo-20260824,archive/pre-final-timing-prune-20260824,2ea2dafe4517b5893fac5e06fc5db2ae63ba13b8,historical
