poll_number,tcp_session_sport,dnp3_app_seq,request_seq_app,request_timestamp,pure_tcp_ack_timestamp,response_timestamp,request_to_ack_ms,ack_to_response_clrt_ms,request_to_response_ms,separate_pure_ack,request_wire_bytes,response_wire_bytes,dnp3_response_length,fir,fin,con,function_code,function_name,iin_lsb,iin_msb,decoded_point_count,completion,timeout,error,notes
33,37541,0,0,1784834719.233167,1784834719.233626,1784834719.23642,0.4589557647705078,2.794027328491211,3.2529830932617188,True,18,134,115,1,1,0,129,RESPONSE,128,0,69,SUCCESS,False,,
34,37541,1,1,1784834720.238524,1784834720.239471,1784834720.241193,0.9469985961914062,1.722097396850586,2.669095993041992,True,18,134,115,1,1,0,129,RESPONSE,128,0,69,SUCCESS,False,,
35,37541,2,2,1784834721.243232,1784834721.244021,1784834721.249546,0.7889270782470703,5.525112152099609,6.31403923034668,True,18,134,115,1,1,0,129,RESPONSE,128,0,69,SUCCESS,False,,
36,37541,3,3,1784834722.251663,1784834722.252692,1784834722.256769,1.0290145874023438,4.076957702636719,5.1059722900390625,True,18,134,115,1,1,0,129,RESPONSE,128,0,69,SUCCESS,False,,
37,37541,4,4,1784834723.258778,1784834723.259265,1784834723.262001,0.4868507385253906,2.7360916137695312,3.222942352294922,True,18,134,115,1,1,0,129,RESPONSE,128,0,69,SUCCESS,False,,
38,37541,5,5,1784834724.264078,1784834724.265515,1784834724.267277,1.4371871948242188,1.7619132995605469,3.1991004943847656,True,18,134,115,1,1,0,129,RESPONSE,128,0,69,SUCCESS,False,,
39,37541,6,6,1784834725.269362,1784834725.27034,1784834725.280161,0.9779930114746094,9.820938110351562,10.798931121826172,True,18,134,115,1,1,0,129,RESPONSE,128,0,69,SUCCESS,False,,
40,37541,7,7,1784834726.282255,1784834726.283172,1784834726.284902,0.9169578552246094,1.730203628540039,2.6471614837646484,True,18,134,115,1,1,0,129,RESPONSE,128,0,69,SUCCESS,False,,
41,37541,8,8,1784834727.286989,1784834727.287664,1784834727.289574,0.6749629974365234,1.9099712371826172,2.5849342346191406,True,18,134,115,1,1,0,129,RESPONSE,128,0,69,SUCCESS,False,,
42,37541,9,9,1784834728.291707,1784834728.292228,1784834728.294063,0.5209445953369141,1.8351078033447266,2.3560523986816406,True,18,134,115,1,1,0,129,RESPONSE,128,0,69,SUCCESS,False,,
43,37541,10,10,1784834729.29615,1784834729.297562,1784834729.299455,1.4119148254394531,1.8930435180664062,3.3049583435058594,True,18,134,115,1,1,0,129,RESPONSE,128,0,69,SUCCESS,False,,
44,37541,11,11,1784834730.301628,1784834730.302147,1784834730.303872,0.518798828125,1.7251968383789062,2.2439956665039062,True,18,134,115,1,1,0,129,RESPONSE,128,0,69,SUCCESS,False,,
45,37541,12,12,1784834731.306022,1784834731.306533,1784834731.308413,0.51116943359375,1.8799304962158203,2.3910999298095703,True,18,134,115,1,1,0,129,RESPONSE,128,0,69,SUCCESS,False,,
46,37541,13,13,1784834732.310466,1784834732.310981,1784834732.312709,0.514984130859375,1.728057861328125,2.2430419921875,True,18,134,115,1,1,0,129,RESPONSE,128,0,69,SUCCESS,False,,
47,37541,14,14,1784834733.314824,1784834733.315284,1784834733.317052,0.45990943908691406,1.767873764038086,2.227783203125,True,18,134,115,1,1,0,129,RESPONSE,128,0,69,SUCCESS,False,,
48,37541,15,15,1784834734.319136,1784834734.31965,1784834734.321379,0.5140304565429688,1.7290115356445312,2.2430419921875,True,18,134,115,1,1,0,129,RESPONSE,128,0,69,SUCCESS,False,,
49,37541,0,0,1784834735.323441,1784834735.323945,1784834735.325657,0.5040168762207031,1.7118453979492188,2.215862274169922,True,18,134,115,1,1,0,129,RESPONSE,128,0,69,SUCCESS,False,,
50,37541,1,1,1784834736.327802,1784834736.332417,1784834736.334485,4.615068435668945,2.068042755126953,6.683111190795898,True,18,134,115,1,1,0,129,RESPONSE,128,0,69,SUCCESS,False,,
51,37541,2,2,1784834737.336625,1784834737.337149,1784834737.339012,0.5238056182861328,1.8630027770996094,2.386808395385742,True,18,134,115,1,1,0,129,RESPONSE,128,0,69,SUCCESS,False,,
52,37541,3,3,1784834738.341085,1784834738.341548,1784834738.343313,0.4630088806152344,1.7650127410888672,2.2280216217041016,True,18,134,115,1,1,0,129,RESPONSE,128,0,69,SUCCESS,False,,
53,37541,4,4,1784834739.345415,1784834739.345879,1784834739.347605,0.4639625549316406,1.725912094116211,2.1898746490478516,True,18,134,115,1,1,0,129,RESPONSE,128,0,69,SUCCESS,False,,
54,37541,5,5,1784834740.349777,1784834740.350319,1784834740.352045,0.5419254302978516,1.7261505126953125,2.268075942993164,True,18,134,115,1,1,0,129,RESPONSE,128,0,69,SUCCESS,False,,
55,37541,6,6,1784834741.354129,1784834741.354775,1784834741.356495,0.6458759307861328,1.7199516296386719,2.3658275604248047,True,18,134,115,1,1,0,129,RESPONSE,128,0,69,SUCCESS,False,,
56,37541,7,7,1784834742.35859,1784834742.359321,1784834742.361046,0.7312297821044922,1.7249584197998047,2.456188201904297,True,18,134,115,1,1,0,129,RESPONSE,128,0,69,SUCCESS,False,,
57,37541,8,8,1784834743.363119,1784834743.367888,1784834743.370139,4.769086837768555,2.2509098052978516,7.019996643066406,True,18,134,115,1,1,0,129,RESPONSE,128,0,69,SUCCESS,False,,
58,37541,9,9,1784834744.372213,1784834744.37268,1784834744.374505,0.46706199645996094,1.825094223022461,2.292156219482422,True,18,134,115,1,1,0,129,RESPONSE,128,0,69,SUCCESS,False,,
59,37541,10,10,1784834745.376619,1784834745.377087,1784834745.378999,0.4680156707763672,1.9118785858154297,2.379894256591797,True,18,134,115,1,1,0,129,RESPONSE,128,0,69,SUCCESS,False,,
60,37541,11,11,1784834746.381131,1784834746.381598,1784834746.383358,0.46706199645996094,1.7600059509277344,2.2270679473876953,True,18,134,115,1,1,0,129,RESPONSE,128,0,69,SUCCESS,False,,
61,37541,12,12,1784834747.385431,1784834747.385974,1784834747.387698,0.5428791046142578,1.7240047454833984,2.2668838500976562,True,18,134,115,1,1,0,129,RESPONSE,128,0,69,SUCCESS,False,,
62,37541,13,13,1784834748.389832,1784834748.390438,1784834748.392165,0.6060600280761719,1.7268657684326172,2.332925796508789,True,18,134,115,1,1,0,129,RESPONSE,128,0,69,SUCCESS,False,,
63,37541,14,14,1784834749.394226,1784834749.395791,1784834749.396696,1.5649795532226562,0.9050369262695312,2.4700164794921875,True,18,134,115,1,1,0,129,RESPONSE,128,0,69,SUCCESS,False,,
64,37541,15,15,1784834750.398718,1784834750.40364,1784834750.410275,4.921913146972656,6.634950637817383,11.556863784790039,True,18,134,115,1,1,0,129,RESPONSE,128,0,69,SUCCESS,False,,
65,37541,0,0,1784834751.412353,1784834751.41285,1784834751.414629,0.49686431884765625,1.7790794372558594,2.2759437561035156,True,18,134,115,1,1,0,129,RESPONSE,128,0,69,SUCCESS,False,,
66,37541,1,1,1784834752.416734,1784834752.417246,1784834752.418979,0.5121231079101562,1.7328262329101562,2.2449493408203125,True,18,134,115,1,1,0,129,RESPONSE,128,0,69,SUCCESS,False,,
67,37541,2,2,1784834753.421052,1784834753.421519,1784834753.423283,0.46706199645996094,1.764059066772461,2.231121063232422,True,18,134,115,1,1,0,129,RESPONSE,128,0,69,SUCCESS,False,,
68,37541,3,3,1784834754.425373,1784834754.425854,1784834754.427572,0.48089027404785156,1.7180442810058594,2.198934555053711,True,18,134,115,1,1,0,129,RESPONSE,128,0,69,SUCCESS,False,,
69,37541,4,4,1784834755.429701,1784834755.430311,1784834755.43203,0.6098747253417969,1.7189979553222656,2.3288726806640625,True,18,134,115,1,1,0,129,RESPONSE,128,0,69,SUCCESS,False,,
70,37541,5,5,1784834756.434115,1784834756.434805,1784834756.436528,0.6899833679199219,1.7230510711669922,2.413034439086914,True,18,134,115,1,1,0,129,RESPONSE,128,0,69,SUCCESS,False,,
71,37541,6,6,1784834757.438607,1784834757.439472,1784834757.441233,0.8649826049804688,1.7609596252441406,2.6259422302246094,True,18,134,115,1,1,0,129,RESPONSE,128,0,69,SUCCESS,False,,
72,37541,7,7,1784834758.443358,1784834758.443916,1784834758.44596,0.5581378936767578,2.0439624786376953,2.602100372314453,True,18,134,115,1,1,0,129,RESPONSE,128,0,69,SUCCESS,False,,
73,37541,8,8,1784834759.447976,1784834759.448473,1784834759.450424,0.49686431884765625,1.950979232788086,2.447843551635742,True,18,134,115,1,1,0,129,RESPONSE,128,0,69,SUCCESS,False,,
74,37541,9,9,1784834760.452448,1784834760.452915,1784834760.454751,0.46706199645996094,1.8360614776611328,2.3031234741210938,True,18,134,115,1,1,0,129,RESPONSE,128,0,69,SUCCESS,False,,
75,37541,10,10,1784834761.456878,1784834761.457361,1784834761.459278,0.4830360412597656,1.917123794555664,2.4001598358154297,True,18,134,115,1,1,0,129,RESPONSE,128,0,69,SUCCESS,False,,
76,37541,11,11,1784834762.461389,1784834762.461855,1784834762.463602,0.4658699035644531,1.74713134765625,2.213001251220703,True,18,134,115,1,1,0,129,RESPONSE,128,0,69,SUCCESS,False,,
77,37541,12,12,1784834763.465746,1784834763.466298,1784834763.46801,0.5521774291992188,1.7118453979492188,2.2640228271484375,True,18,134,115,1,1,0,129,RESPONSE,128,0,69,SUCCESS,False,,
78,37541,13,13,1784834764.470089,1784834764.473294,1784834764.476123,3.2050609588623047,2.8290748596191406,6.034135818481445,True,18,134,115,1,1,0,129,RESPONSE,128,0,69,SUCCESS,False,,
79,37541,14,14,1784834765.478195,1784834765.479552,1784834765.481312,1.3570785522460938,1.7600059509277344,3.117084503173828,True,18,134,115,1,1,0,129,RESPONSE,128,0,69,SUCCESS,False,,
80,37541,15,15,1784834766.483357,1784834766.483957,1784834766.485681,0.6000995635986328,1.7240047454833984,2.3241043090820312,True,18,134,115,1,1,0,129,RESPONSE,128,0,69,SUCCESS,False,,
81,37541,0,0,1784834767.487796,1784834767.488443,1784834767.490348,0.6468296051025391,1.905202865600586,2.552032470703125,True,18,134,115,1,1,0,129,RESPONSE,128,0,69,SUCCESS,False,,
82,37541,1,1,1784834768.492342,1784834768.492952,1784834768.494674,0.6101131439208984,1.7218589782714844,2.331972122192383,True,18,134,115,1,1,0,129,RESPONSE,128,0,69,SUCCESS,False,,
83,37541,2,2,1784834769.496837,1784834769.49742,1784834769.499541,0.5831718444824219,2.1209716796875,2.704143524169922,True,18,134,115,1,1,0,129,RESPONSE,128,0,69,SUCCESS,False,,
84,37541,3,3,1784834770.501681,1784834770.502145,1784834770.503911,0.4639625549316406,1.7659664154052734,2.229928970336914,True,18,134,115,1,1,0,129,RESPONSE,128,0,69,SUCCESS,False,,
85,37541,4,4,1784834771.505995,1784834771.508456,1784834771.511376,2.460956573486328,2.919912338256836,5.380868911743164,True,18,134,115,1,1,0,129,RESPONSE,128,0,69,SUCCESS,False,,
86,37541,5,5,1784834772.513412,1784834772.514962,1784834772.51666,1.5499591827392578,1.6980171203613281,3.247976303100586,True,18,134,115,1,1,0,129,RESPONSE,128,0,69,SUCCESS,False,,
87,37541,6,6,1784834773.518777,1784834773.51974,1784834773.521495,0.9632110595703125,1.7549991607666016,2.718210220336914,True,18,134,115,1,1,0,129,RESPONSE,128,0,69,SUCCESS,False,,
88,37541,7,7,1784834774.523624,1784834774.524175,1784834774.525913,0.5509853363037109,1.7380714416503906,2.2890567779541016,True,18,134,115,1,1,0,129,RESPONSE,128,0,69,SUCCESS,False,,
89,37541,8,8,1784834775.528014,1784834775.528619,1784834775.530891,0.6051063537597656,2.271890640258789,2.8769969940185547,True,18,134,115,1,1,0,129,RESPONSE,128,0,69,SUCCESS,False,,
90,37541,9,9,1784834776.532983,1784834776.533509,1784834776.53527,0.5259513854980469,1.7609596252441406,2.2869110107421875,True,18,134,115,1,1,0,129,RESPONSE,128,0,69,SUCCESS,False,,
91,37541,10,10,1784834777.537354,1784834777.537819,1784834777.539909,0.4649162292480469,2.089977264404297,2.5548934936523438,True,18,134,115,1,1,0,129,RESPONSE,128,0,69,SUCCESS,False,,
92,37541,11,11,1784834778.542007,1784834778.543647,1784834778.546405,1.6400814056396484,2.758026123046875,4.398107528686523,True,18,134,115,1,1,0,129,RESPONSE,128,0,69,SUCCESS,False,,
93,37541,12,12,1784834779.548435,1784834779.548901,1784834779.551968,0.4661083221435547,3.0670166015625,3.5331249237060547,True,18,134,115,1,1,0,129,RESPONSE,128,0,69,SUCCESS,False,,
94,37541,13,13,1784834780.554058,1784834780.555306,1784834780.557022,1.2478828430175781,1.7161369323730469,2.964019775390625,True,18,134,115,1,1,0,129,RESPONSE,128,0,69,SUCCESS,False,,
95,37541,14,14,1784834781.559099,1784834781.559859,1784834781.56158,0.7600784301757812,1.7209053039550781,2.4809837341308594,True,18,134,115,1,1,0,129,RESPONSE,128,0,69,SUCCESS,False,,
96,37541,15,15,1784834782.5637,1784834782.564273,1784834782.566001,0.5731582641601562,1.7278194427490234,2.3009777069091797,True,18,134,115,1,1,0,129,RESPONSE,128,0,69,SUCCESS,False,,
97,37541,0,0,1784834783.568098,1784834783.568719,1784834783.57065,0.6208419799804688,1.9311904907226562,2.552032470703125,True,18,134,115,1,1,0,129,RESPONSE,128,0,69,SUCCESS,False,,
98,37541,1,1,1784834784.57276,1784834784.573286,1784834784.575053,0.5259513854980469,1.7669200897216797,2.2928714752197266,True,18,134,115,1,1,0,129,RESPONSE,128,0,69,SUCCESS,False,,
99,37541,2,2,1784834785.57714,1784834785.578773,1784834785.581749,1.6329288482666016,2.975940704345703,4.608869552612305,True,18,134,115,1,1,0,129,RESPONSE,128,0,69,SUCCESS,False,,
100,37541,3,3,1784834786.583845,1784834786.584365,1784834786.587531,0.5199909210205078,3.16619873046875,3.686189651489258,True,18,134,115,1,1,0,129,RESPONSE,128,0,69,SUCCESS,False,,
101,37541,4,4,1784834787.589636,1784834787.590939,1784834787.592652,1.302957534790039,1.7130374908447266,3.0159950256347656,True,18,134,115,1,1,0,129,RESPONSE,128,0,69,SUCCESS,False,,
102,37541,5,5,1784834788.594778,1784834788.595438,1784834788.597153,0.659942626953125,1.714944839477539,2.374887466430664,True,18,134,115,1,1,0,129,RESPONSE,128,0,69,SUCCESS,False,,
103,37541,6,6,1784834789.599214,1784834789.600059,1784834789.601886,0.8449554443359375,1.8270015716552734,2.671957015991211,True,18,134,115,1,1,0,129,RESPONSE,128,0,69,SUCCESS,False,,
104,37541,7,7,1784834790.604029,1784834790.604506,1784834790.606234,0.47707557678222656,1.728057861328125,2.2051334381103516,True,18,134,115,1,1,0,129,RESPONSE,128,0,69,SUCCESS,False,,
105,37541,8,8,1784834791.608368,1784834791.608928,1784834791.610844,0.5600452423095703,1.9159317016601562,2.4759769439697266,True,18,134,115,1,1,0,129,RESPONSE,128,0,69,SUCCESS,False,,
106,37541,9,9,1784834792.612978,1784834792.613914,1784834792.615697,0.9360313415527344,1.7828941345214844,2.7189254760742188,True,18,134,115,1,1,0,129,RESPONSE,128,0,69,SUCCESS,False,,
107,37541,10,10,1784834793.617789,1784834793.618309,1784834793.620163,0.5199909210205078,1.85394287109375,2.373933792114258,True,18,134,115,1,1,0,129,RESPONSE,128,0,69,SUCCESS,False,,
108,37541,11,11,1784834794.622246,1784834794.622761,1784834794.624473,0.514984130859375,1.7120838165283203,2.2270679473876953,True,18,134,115,1,1,0,129,RESPONSE,128,0,69,SUCCESS,False,,
109,37541,12,12,1784834795.626523,1784834795.626989,1784834795.628714,0.4658699035644531,1.7251968383789062,2.1910667419433594,True,18,134,115,1,1,0,129,RESPONSE,128,0,69,SUCCESS,False,,
110,37541,13,13,1784834796.630834,1784834796.63144,1784834796.636245,0.6058216094970703,4.805088043212891,5.410909652709961,True,18,134,115,1,1,0,129,RESPONSE,128,0,69,SUCCESS,False,,
111,37541,14,14,1784834797.638367,1784834797.639992,1784834797.641721,1.62506103515625,1.7290115356445312,3.3540725708007812,True,18,134,115,1,1,0,129,RESPONSE,128,0,69,SUCCESS,False,,
112,37541,15,15,1784834798.643742,1784834798.644717,1784834798.646467,0.9748935699462891,1.7499923706054688,2.724885940551758,True,18,134,115,1,1,0,129,RESPONSE,128,0,69,SUCCESS,False,,
113,37541,0,0,1784834799.648315,1784834799.649103,1784834799.651171,0.7879734039306641,2.068042755126953,2.856016159057617,True,18,134,115,1,1,0,129,RESPONSE,128,0,69,SUCCESS,False,,
114,37541,1,1,1784834800.653249,1784834800.653718,1784834800.655552,0.46896934509277344,1.8339157104492188,2.302885055541992,True,18,134,115,1,1,0,129,RESPONSE,128,0,69,SUCCESS,False,,
115,37541,2,2,1784834801.657664,1784834801.658129,1784834801.660053,0.4649162292480469,1.9240379333496094,2.3889541625976562,True,18,134,115,1,1,0,129,RESPONSE,128,0,69,SUCCESS,False,,
116,37541,3,3,1784834802.662139,1784834802.662625,1784834802.664352,0.48613548278808594,1.7268657684326172,2.213001251220703,True,18,134,115,1,1,0,129,RESPONSE,128,0,69,SUCCESS,False,,
117,37541,4,4,1784834803.66642,1784834803.667029,1784834803.668758,0.6089210510253906,1.7290115356445312,2.337932586669922,True,18,134,115,1,1,0,129,RESPONSE,128,0,69,SUCCESS,False,,
118,37541,5,5,1784834804.670867,1784834804.671576,1784834804.673295,0.7090568542480469,1.7189979553222656,2.4280548095703125,True,18,134,115,1,1,0,129,RESPONSE,128,0,69,SUCCESS,False,,
119,37541,6,6,1784834805.675385,1784834805.676068,1784834805.6778,0.6830692291259766,1.73187255859375,2.4149417877197266,True,18,134,115,1,1,0,129,RESPONSE,128,0,69,SUCCESS,False,,
120,37541,7,7,1784834806.679965,1784834806.684691,1784834806.686484,4.725933074951172,1.7931461334228516,6.519079208374023,True,18,134,115,1,1,0,129,RESPONSE,128,0,69,SUCCESS,False,,
121,37541,8,8,1784834807.688592,1784834807.68925,1784834807.691156,0.6580352783203125,1.9059181213378906,2.563953399658203,True,18,134,115,1,1,0,129,RESPONSE,128,0,69,SUCCESS,False,,
122,37541,9,9,1784834808.693213,1784834808.693727,1784834808.695505,0.5140304565429688,1.7778873443603516,2.2919178009033203,True,18,134,115,1,1,0,129,RESPONSE,128,0,69,SUCCESS,False,,
123,37541,10,10,1784834809.697618,1784834809.69825,1784834809.700123,0.6320476531982422,1.873016357421875,2.505064010620117,True,18,134,115,1,1,0,129,RESPONSE,128,0,69,SUCCESS,False,,
124,37541,11,11,1784834810.702215,1784834810.702721,1784834810.704447,0.5061626434326172,1.725912094116211,2.232074737548828,True,18,134,115,1,1,0,129,RESPONSE,128,0,69,SUCCESS,False,,
125,37541,12,12,1784834811.706521,1784834811.707226,1784834811.708959,0.7050037384033203,1.7330646514892578,2.438068389892578,True,18,134,115,1,1,0,129,RESPONSE,128,0,69,SUCCESS,False,,
126,37541,13,13,1784834812.711078,1784834812.711702,1784834812.713431,0.6241798400878906,1.7287731170654297,2.3529529571533203,True,18,134,115,1,1,0,129,RESPONSE,128,0,69,SUCCESS,False,,
127,37541,14,14,1784834813.715582,1784834813.720556,1784834813.722451,4.974126815795898,1.8949508666992188,6.869077682495117,True,18,134,115,1,1,0,129,RESPONSE,128,0,69,SUCCESS,False,,
128,37541,15,15,1784834814.724564,1784834814.725034,1784834814.726807,0.4699230194091797,1.7731189727783203,2.2430419921875,True,18,134,115,1,1,0,129,RESPONSE,128,0,69,SUCCESS,False,,
129,37541,0,0,1784834815.728831,1784834815.729359,1784834815.731281,0.5278587341308594,1.9221305847167969,2.4499893188476562,True,18,134,115,1,1,0,129,RESPONSE,128,0,69,SUCCESS,False,,
130,37541,1,1,1784834816.733371,1784834816.733884,1784834816.735606,0.5130767822265625,1.7218589782714844,2.234935760498047,True,18,134,115,1,1,0,129,RESPONSE,128,0,69,SUCCESS,False,,
131,37541,2,2,1784834817.737704,1784834817.738356,1784834817.740072,0.6520748138427734,1.7158985137939453,2.3679733276367188,True,18,134,115,1,1,0,129,RESPONSE,128,0,69,SUCCESS,False,,
132,37541,3,3,1784834818.742149,1784834818.742898,1784834818.747828,0.7488727569580078,4.930019378662109,5.678892135620117,True,18,134,115,1,1,0,129,RESPONSE,128,0,69,SUCCESS,False,,
133,37541,4,4,1784834819.749952,1784834819.751655,1784834819.753359,1.703023910522461,1.7039775848388672,3.407001495361328,True,18,134,115,1,1,0,129,RESPONSE,128,0,69,SUCCESS,False,,
134,37541,5,5,1784834820.755452,1784834820.756104,1784834820.757833,0.6520748138427734,1.7290115356445312,2.3810863494873047,True,18,134,115,1,1,0,129,RESPONSE,128,0,69,SUCCESS,False,,
135,37541,6,6,1784834821.759992,1784834821.760683,1784834821.762441,0.6911754608154297,1.7578601837158203,2.44903564453125,True,18,134,115,1,1,0,129,RESPONSE,128,0,69,SUCCESS,False,,
136,37541,7,7,1784834822.764637,1784834822.7651,1784834822.766914,0.4630088806152344,1.8138885498046875,2.276897430419922,True,18,134,115,1,1,0,129,RESPONSE,128,0,69,SUCCESS,False,,
137,37541,8,8,1784834823.769019,1784834823.769549,1784834823.771483,0.5300045013427734,1.934051513671875,2.4640560150146484,True,18,134,115,1,1,0,129,RESPONSE,128,0,69,SUCCESS,False,,
