candidate_id,tier,read_encoding,sbo_encoding,real_objects,decoy_objects,native_size_bytes,u_userdata,crc_boundary_offsets,balanced_split,point_config_burden,parser_visible_differences,physical_risk,opendnp3_result,sel751_compat,reason
C17,2,"READ G30V3 x3 pts, qualifier limited-qty count 1-byte","SBO G12V1 x1 CROB, qualifier indexed count 1-byte + 1-byte prefix",1 real CROB (even index) + SBO echo,"0 decoy CROB(s) (odd index, must be physically disconnected)",35,21,10 28 35,10+25,SBO: 1 G12V1 points (1 real + 0 decoy); READ: 3 configured analog points (G30V3) emitted with limited-qty count qualifier (atypical in a response),group/var differ (G12 CROB vs G30V3); CROB carries control-code/timing fields; both responses use func 0x81 + IIN; sizes + CRC-block geometry identical,READ: none (read-only). SBO: decoy CROBs MUST be proven physically disconnected/unmapped before any hardware test (mandatory prereq; no relay writes this run).,TBD (offline; validate on OpenDNP3 loopback),TBD (needs relay point-map: 3 analog pts + 1 output pts configured),REJECTED: residue-engineered -- requires a non-minimal qualifier the relay would not naturally emit; keep as a size-math fallback only.
C18,2,"READ G20V2 x3 pts, qualifier start-stop 2-byte","SBO G12V1 x1 CROB, qualifier indexed count 1-byte + 1-byte prefix",1 real CROB (even index) + SBO echo,"0 decoy CROB(s) (odd index, must be physically disconnected)",35,21,10 28 35,10+25,SBO: 1 G12V1 points (1 real + 0 decoy); READ: 3 configured counter points (G20V2) forced to indices >=256 (2-byte range),group/var differ (G12 CROB vs G20V2); CROB carries control-code/timing fields; both responses use func 0x81 + IIN; sizes + CRC-block geometry identical,READ: none (read-only). SBO: decoy CROBs MUST be proven physically disconnected/unmapped before any hardware test (mandatory prereq; no relay writes this run).,TBD (offline; validate on OpenDNP3 loopback),TBD (needs relay point-map: 3 counter pts + 1 output pts configured),REJECTED: residue-engineered -- requires a non-minimal qualifier the relay would not naturally emit; keep as a size-math fallback only.
C19,2,"READ G20V2 x3 pts, qualifier indexed count 1-byte + 1-byte prefix","SBO G12V1 x1 CROB, qualifier indexed count 1-byte + 1-byte prefix",1 real CROB (even index) + SBO echo,"0 decoy CROB(s) (odd index, must be physically disconnected)",35,21,10 28 35,10+25,SBO: 1 G12V1 points (1 real + 0 decoy); READ: 3 configured counter points (G20V2) emitted with indexed qualifier (atypical for a static read),group/var differ (G12 CROB vs G20V2); CROB carries control-code/timing fields; both responses use func 0x81 + IIN; sizes + CRC-block geometry identical,READ: none (read-only). SBO: decoy CROBs MUST be proven physically disconnected/unmapped before any hardware test (mandatory prereq; no relay writes this run).,TBD (offline; validate on OpenDNP3 loopback),TBD (needs relay point-map: 3 counter pts + 1 output pts configured),REJECTED: residue-engineered -- requires a non-minimal qualifier the relay would not naturally emit; keep as a size-math fallback only.
C20,2,"READ G20V5 x3 pts, qualifier limited-qty count 1-byte","SBO G12V1 x1 CROB, qualifier indexed count 1-byte + 1-byte prefix",1 real CROB (even index) + SBO echo,"0 decoy CROB(s) (odd index, must be physically disconnected)",35,21,10 28 35,10+25,SBO: 1 G12V1 points (1 real + 0 decoy); READ: 3 configured counter points (G20V5) emitted with limited-qty count qualifier (atypical in a response),group/var differ (G12 CROB vs G20V5); CROB carries control-code/timing fields; both responses use func 0x81 + IIN; sizes + CRC-block geometry identical,READ: none (read-only). SBO: decoy CROBs MUST be proven physically disconnected/unmapped before any hardware test (mandatory prereq; no relay writes this run).,TBD (offline; validate on OpenDNP3 loopback),TBD (needs relay point-map: 3 counter pts + 1 output pts configured),REJECTED: residue-engineered -- requires a non-minimal qualifier the relay would not naturally emit; keep as a size-math fallback only.
C21,2,"READ G30V2 x4 pts, qualifier limited-qty count 1-byte","SBO G12V1 x1 CROB, qualifier indexed count 1-byte + 1-byte prefix",1 real CROB (even index) + SBO echo,"0 decoy CROB(s) (odd index, must be physically disconnected)",35,21,10 28 35,10+25,SBO: 1 G12V1 points (1 real + 0 decoy); READ: 4 configured analog points (G30V2) emitted with limited-qty count qualifier (atypical in a response),group/var differ (G12 CROB vs G30V2); CROB carries control-code/timing fields; both responses use func 0x81 + IIN; sizes + CRC-block geometry identical,READ: none (read-only). SBO: decoy CROBs MUST be proven physically disconnected/unmapped before any hardware test (mandatory prereq; no relay writes this run).,TBD (offline; validate on OpenDNP3 loopback),TBD (needs relay point-map: 4 analog pts + 1 output pts configured),REJECTED: residue-engineered -- requires a non-minimal qualifier the relay would not naturally emit; keep as a size-math fallback only.
C22,2,"READ G30V4 x4 pts, qualifier indexed count 1-byte + 1-byte prefix","SBO G12V1 x1 CROB, qualifier indexed count 1-byte + 1-byte prefix",1 real CROB (even index) + SBO echo,"0 decoy CROB(s) (odd index, must be physically disconnected)",35,21,10 28 35,10+25,SBO: 1 G12V1 points (1 real + 0 decoy); READ: 4 configured analog points (G30V4) emitted with indexed qualifier (atypical for a static read),group/var differ (G12 CROB vs G30V4); CROB carries control-code/timing fields; both responses use func 0x81 + IIN; sizes + CRC-block geometry identical,READ: none (read-only). SBO: decoy CROBs MUST be proven physically disconnected/unmapped before any hardware test (mandatory prereq; no relay writes this run).,TBD (offline; validate on OpenDNP3 loopback),TBD (needs relay point-map: 4 analog pts + 1 output pts configured),REJECTED: residue-engineered -- requires a non-minimal qualifier the relay would not naturally emit; keep as a size-math fallback only.
C23,2,"READ G20V2 x4 pts, qualifier limited-qty count 1-byte","SBO G12V1 x1 CROB, qualifier indexed count 1-byte + 1-byte prefix",1 real CROB (even index) + SBO echo,"0 decoy CROB(s) (odd index, must be physically disconnected)",35,21,10 28 35,10+25,SBO: 1 G12V1 points (1 real + 0 decoy); READ: 4 configured counter points (G20V2) emitted with limited-qty count qualifier (atypical in a response),group/var differ (G12 CROB vs G20V2); CROB carries control-code/timing fields; both responses use func 0x81 + IIN; sizes + CRC-block geometry identical,READ: none (read-only). SBO: decoy CROBs MUST be proven physically disconnected/unmapped before any hardware test (mandatory prereq; no relay writes this run).,TBD (offline; validate on OpenDNP3 loopback),TBD (needs relay point-map: 4 counter pts + 1 output pts configured),REJECTED: residue-engineered -- requires a non-minimal qualifier the relay would not naturally emit; keep as a size-math fallback only.
C24,2,"READ G20V6 x4 pts, qualifier indexed count 1-byte + 1-byte prefix","SBO G12V1 x1 CROB, qualifier indexed count 1-byte + 1-byte prefix",1 real CROB (even index) + SBO echo,"0 decoy CROB(s) (odd index, must be physically disconnected)",35,21,10 28 35,10+25,SBO: 1 G12V1 points (1 real + 0 decoy); READ: 4 configured counter points (G20V6) emitted with indexed qualifier (atypical for a static read),group/var differ (G12 CROB vs G20V6); CROB carries control-code/timing fields; both responses use func 0x81 + IIN; sizes + CRC-block geometry identical,READ: none (read-only). SBO: decoy CROBs MUST be proven physically disconnected/unmapped before any hardware test (mandatory prereq; no relay writes this run).,TBD (offline; validate on OpenDNP3 loopback),TBD (needs relay point-map: 4 counter pts + 1 output pts configured),REJECTED: residue-engineered -- requires a non-minimal qualifier the relay would not naturally emit; keep as a size-math fallback only.
C25,2,"READ G1V2 x6 pts, qualifier indexed count 1-byte + 1-byte prefix","SBO G12V1 x1 CROB, qualifier indexed count 1-byte + 1-byte prefix",1 real CROB (even index) + SBO echo,"0 decoy CROB(s) (odd index, must be physically disconnected)",35,21,10 28 35,10+25,SBO: 1 G12V1 points (1 real + 0 decoy); READ: 6 configured status points (G1V2) emitted with indexed qualifier (atypical for a static read),group/var differ (G12 CROB vs G1V2); CROB carries control-code/timing fields; both responses use func 0x81 + IIN; sizes + CRC-block geometry identical,READ: none (read-only). SBO: decoy CROBs MUST be proven physically disconnected/unmapped before any hardware test (mandatory prereq; no relay writes this run).,TBD (offline; validate on OpenDNP3 loopback),TBD (needs relay point-map: 6 status pts + 1 output pts configured),REJECTED: residue-engineered -- requires a non-minimal qualifier the relay would not naturally emit; keep as a size-math fallback only.
C26,2,"READ G10V2 x6 pts, qualifier indexed count 1-byte + 1-byte prefix","SBO G12V1 x1 CROB, qualifier indexed count 1-byte + 1-byte prefix",1 real CROB (even index) + SBO echo,"0 decoy CROB(s) (odd index, must be physically disconnected)",35,21,10 28 35,10+25,SBO: 1 G12V1 points (1 real + 0 decoy); READ: 6 configured status points (G10V2) emitted with indexed qualifier (atypical for a static read),group/var differ (G12 CROB vs G10V2); CROB carries control-code/timing fields; both responses use func 0x81 + IIN; sizes + CRC-block geometry identical,READ: none (read-only). SBO: decoy CROBs MUST be proven physically disconnected/unmapped before any hardware test (mandatory prereq; no relay writes this run).,TBD (offline; validate on OpenDNP3 loopback),TBD (needs relay point-map: 6 status pts + 1 output pts configured),REJECTED: residue-engineered -- requires a non-minimal qualifier the relay would not naturally emit; keep as a size-math fallback only.
C27,2,"READ G30V4 x6 pts, qualifier limited-qty count 1-byte","SBO G12V1 x1 CROB, qualifier indexed count 1-byte + 1-byte prefix",1 real CROB (even index) + SBO echo,"0 decoy CROB(s) (odd index, must be physically disconnected)",35,21,10 28 35,10+25,SBO: 1 G12V1 points (1 real + 0 decoy); READ: 6 configured analog points (G30V4) emitted with limited-qty count qualifier (atypical in a response),group/var differ (G12 CROB vs G30V4); CROB carries control-code/timing fields; both responses use func 0x81 + IIN; sizes + CRC-block geometry identical,READ: none (read-only). SBO: decoy CROBs MUST be proven physically disconnected/unmapped before any hardware test (mandatory prereq; no relay writes this run).,TBD (offline; validate on OpenDNP3 loopback),TBD (needs relay point-map: 6 analog pts + 1 output pts configured),REJECTED: residue-engineered -- requires a non-minimal qualifier the relay would not naturally emit; keep as a size-math fallback only.
C28,2,"READ G20V6 x6 pts, qualifier limited-qty count 1-byte","SBO G12V1 x1 CROB, qualifier indexed count 1-byte + 1-byte prefix",1 real CROB (even index) + SBO echo,"0 decoy CROB(s) (odd index, must be physically disconnected)",35,21,10 28 35,10+25,SBO: 1 G12V1 points (1 real + 0 decoy); READ: 6 configured counter points (G20V6) emitted with limited-qty count qualifier (atypical in a response),group/var differ (G12 CROB vs G20V6); CROB carries control-code/timing fields; both responses use func 0x81 + IIN; sizes + CRC-block geometry identical,READ: none (read-only). SBO: decoy CROBs MUST be proven physically disconnected/unmapped before any hardware test (mandatory prereq; no relay writes this run).,TBD (offline; validate on OpenDNP3 loopback),TBD (needs relay point-map: 6 counter pts + 1 output pts configured),REJECTED: residue-engineered -- requires a non-minimal qualifier the relay would not naturally emit; keep as a size-math fallback only.
C29,2,"READ G1V2 x9 pts, qualifier start-stop 2-byte","SBO G12V1 x1 CROB, qualifier indexed count 1-byte + 1-byte prefix",1 real CROB (even index) + SBO echo,"0 decoy CROB(s) (odd index, must be physically disconnected)",35,21,10 28 35,10+25,SBO: 1 G12V1 points (1 real + 0 decoy); READ: 9 configured status points (G1V2) forced to indices >=256 (2-byte range),group/var differ (G12 CROB vs G1V2); CROB carries control-code/timing fields; both responses use func 0x81 + IIN; sizes + CRC-block geometry identical,READ: none (read-only). SBO: decoy CROBs MUST be proven physically disconnected/unmapped before any hardware test (mandatory prereq; no relay writes this run).,TBD (offline; validate on OpenDNP3 loopback),TBD (needs relay point-map: 9 status pts + 1 output pts configured),REJECTED: residue-engineered -- requires a non-minimal qualifier the relay would not naturally emit; keep as a size-math fallback only.
C30,2,"READ G10V2 x9 pts, qualifier start-stop 2-byte","SBO G12V1 x1 CROB, qualifier indexed count 1-byte + 1-byte prefix",1 real CROB (even index) + SBO echo,"0 decoy CROB(s) (odd index, must be physically disconnected)",35,21,10 28 35,10+25,SBO: 1 G12V1 points (1 real + 0 decoy); READ: 9 configured status points (G10V2) forced to indices >=256 (2-byte range),group/var differ (G12 CROB vs G10V2); CROB carries control-code/timing fields; both responses use func 0x81 + IIN; sizes + CRC-block geometry identical,READ: none (read-only). SBO: decoy CROBs MUST be proven physically disconnected/unmapped before any hardware test (mandatory prereq; no relay writes this run).,TBD (offline; validate on OpenDNP3 loopback),TBD (needs relay point-map: 9 status pts + 1 output pts configured),REJECTED: residue-engineered -- requires a non-minimal qualifier the relay would not naturally emit; keep as a size-math fallback only.
C31,2,"READ G1V2 x12 pts, qualifier limited-qty count 1-byte","SBO G12V1 x1 CROB, qualifier indexed count 1-byte + 1-byte prefix",1 real CROB (even index) + SBO echo,"0 decoy CROB(s) (odd index, must be physically disconnected)",35,21,10 28 35,10+25,SBO: 1 G12V1 points (1 real + 0 decoy); READ: 12 configured status points (G1V2) emitted with limited-qty count qualifier (atypical in a response),group/var differ (G12 CROB vs G1V2); CROB carries control-code/timing fields; both responses use func 0x81 + IIN; sizes + CRC-block geometry identical,READ: none (read-only). SBO: decoy CROBs MUST be proven physically disconnected/unmapped before any hardware test (mandatory prereq; no relay writes this run).,TBD (offline; validate on OpenDNP3 loopback),TBD (needs relay point-map: 12 status pts + 1 output pts configured),REJECTED: residue-engineered -- requires a non-minimal qualifier the relay would not naturally emit; keep as a size-math fallback only.
C32,2,"READ G10V2 x12 pts, qualifier limited-qty count 1-byte","SBO G12V1 x1 CROB, qualifier indexed count 1-byte + 1-byte prefix",1 real CROB (even index) + SBO echo,"0 decoy CROB(s) (odd index, must be physically disconnected)",35,21,10 28 35,10+25,SBO: 1 G12V1 points (1 real + 0 decoy); READ: 12 configured status points (G10V2) emitted with limited-qty count qualifier (atypical in a response),group/var differ (G12 CROB vs G10V2); CROB carries control-code/timing fields; both responses use func 0x81 + IIN; sizes + CRC-block geometry identical,READ: none (read-only). SBO: decoy CROBs MUST be proven physically disconnected/unmapped before any hardware test (mandatory prereq; no relay writes this run).,TBD (offline; validate on OpenDNP3 loopback),TBD (needs relay point-map: 12 status pts + 1 output pts configured),REJECTED: residue-engineered -- requires a non-minimal qualifier the relay would not naturally emit; keep as a size-math fallback only.
C33,2,"READ G30V1 x4 pts, qualifier indexed count 1-byte + 1-byte prefix","SBO G12V1 x2 CROB, qualifier indexed count 1-byte + 1-byte prefix",1 real CROB (even index) + SBO echo,"1 decoy CROB(s) (odd index, must be physically disconnected)",49,33,10 28 46 49,28+21,SBO: 2 G12V1 points (1 real + 1 decoy); READ: 4 configured analog points (G30V1) emitted with indexed qualifier (atypical for a static read),group/var differ (G12 CROB vs G30V1); CROB carries control-code/timing fields; both responses use func 0x81 + IIN; sizes + CRC-block geometry identical,READ: none (read-only). SBO: decoy CROBs MUST be proven physically disconnected/unmapped before any hardware test (mandatory prereq; no relay writes this run).,TBD (offline; validate on OpenDNP3 loopback),TBD (needs relay point-map: 4 analog pts + 2 output pts configured),REJECTED: residue-engineered -- requires a non-minimal qualifier the relay would not naturally emit; keep as a size-math fallback only.
